Category: Arts & Entertainment

Country,The Shawshank Redemption: (3/1/15 - 3/31/16),Everest: (3/1/15 - 3/31/16)
Kazakhstan,0,100
Ukraine,0,63
Russia,0,55
Belarus,0,52
New Zealand,0,44
Ireland,0,39
Spain,0,37
Australia,6,37
Singapore,0,36
United Arab Emirates,0,35
Romania,0,35
Hungary,0,32
United Kingdom,6,30
Czech Republic,0,29
Italy,0,28
Canada,5,27
Pakistan,0,27
India,8,27
Poland,0,27
Turkey,0,25
Malaysia,0,24
Indonesia,0,24
Switzerland,0,23
France,0,23
Greece,0,22
United States,4,22
Chile,0,21
Argentina,0,21
Austria,0,20
Mexico,0,19
Philippines,0,19
Egypt,18,0
Sweden,0,18
Germany,0,16
Netherlands,0,13
Colombia,0,10
Brazil,0,9
Thailand,0,8
Japan,0,2
