Category: Arts & Entertainment

Country,The Shawshank Redemption: (2016),Suicide Squad: (2016)
Philippines,0,100
Trinidad & Tobago,0,99
Puerto Rico,0,73
Australia,1,64
Singapore,0,64
Malaysia,0,62
New Zealand,0,60
United States,1,60
Canada,1,56
Ireland,0,54
United Kingdom,1,51
Georgia,0,51
Bangladesh,0,45
Italy,0,45
South Africa,0,42
United Arab Emirates,0,42
Costa Rica,0,40
Romania,0,40
Lebanon,0,40
Mexico,0,38
Latvia,0,38
Kuwait,0,37
Chile,0,34
Indonesia,0,34
Norway,0,34
Portugal,0,33
Sri Lanka,0,31
Slovakia,0,31
Pakistan,0,31
Croatia,0,30
Guatemala,0,30
Lithuania,0,29
Sweden,0,29
Czech Republic,0,28
Egypt,3,28
Greece,0,27
Bulgaria,0,27
Ecuador,0,27
Hungary,0,26
Dominican Republic,0,26
Serbia,0,26
Denmark,0,26
Hong Kong,0,25
Austria,0,24
India,1,23
Argentina,0,22
Germany,0,22
Finland,0,22
Jordan,0,22
Netherlands,0,21
Venezuela,0,21
Switzerland,0,21
Nigeria,0,21
Kenya,0,21
France,0,20
Turkey,0,20
Belgium,0,20
Colombia,0,19
Saudi Arabia,0,18
Poland,0,18
Thailand,0,18
Morocco,0,18
Peru,0,15
Israel,0,15
Spain,0,12
Iran,0,10
Algeria,0,10
South Korea,0,9
Vietnam,0,8
Brazil,0,6
Taiwan,0,5
Ukraine,0,3
Russia,0,3
Japan,0,1
