Category: Arts & Entertainment

Country,The Shawshank Redemption: (2013),Iron Man 3: (2013)
Philippines,0,100
Singapore,0,87
Malaysia,0,81
Mexico,0,80
Ecuador,0,77
Dominican Republic,0,72
El Salvador,0,71
Bolivia,0,71
Sri Lanka,0,68
Chile,0,65
Panama,0,65
Hong Kong,0,63
Guatemala,0,60
India,2,56
Costa Rica,0,55
Puerto Rico,0,55
Bangladesh,0,54
Indonesia,0,53
Thailand,0,52
United Arab Emirates,0,52
United States,1,46
Pakistan,0,46
Colombia,0,45
Peru,0,45
Uruguay,0,44
Argentina,0,42
Australia,2,42
Canada,2,41
New Zealand,0,40
United Kingdom,2,39
Czech Republic,0,38
Romania,0,37
Ireland,0,35
Italy,0,34
France,0,34
Vietnam,0,33
Venezuela,0,32
South Africa,0,30
Poland,0,29
Egypt,0,26
Slovakia,0,25
Belgium,0,24
Greece,0,23
Croatia,0,23
Norway,0,23
Denmark,0,21
Sweden,0,20
Morocco,0,20
Portugal,0,19
Spain,0,19
Switzerland,0,18
Turkey,0,18
Austria,0,18
Algeria,0,18
Germany,0,17
Netherlands,0,17
Israel,0,16
Bulgaria,0,16
Hungary,0,14
Serbia,0,14
South Korea,0,14
Finland,0,14
Saudi Arabia,0,14
Iran,0,12
Taiwan,0,11
Brazil,0,8
Ukraine,0,7
Russia,0,5
Japan,0,1
