Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Furious 7: (2015)
Mauritius,0,100
Pakistan,0,85
Trinidad & Tobago,0,70
Réunion,0,64
Romania,0,63
Sri Lanka,0,57
Jamaica,0,51
Albania,0,47
Malaysia,0,45
Nepal,0,42
India,1,41
Philippines,0,41
Bangladesh,0,39
United Arab Emirates,0,37
Qatar,0,35
South Africa,0,35
Indonesia,0,32
Oman,0,30
Lebanon,0,28
Tunisia,0,28
Bolivia,0,28
Algeria,0,28
Egypt,2,26
Singapore,0,26
Puerto Rico,0,25
Jordan,0,25
France,0,24
Kuwait,0,24
New Zealand,0,24
Morocco,0,24
Thailand,0,24
Latvia,0,23
Vietnam,0,23
Italy,0,22
Nigeria,0,21
Australia,1,21
United Kingdom,1,21
Bulgaria,0,20
Kenya,0,19
United States,1,18
Belgium,0,18
Norway,0,18
Ireland,0,17
Bosnia & Herzegovina,0,17
Greece,0,17
Switzerland,0,17
Canada,1,17
Sweden,0,16
Denmark,0,15
Austria,0,15
Saudi Arabia,0,15
Germany,0,14
Netherlands,0,13
Dominican Republic,0,13
Croatia,0,13
Serbia,0,13
Spain,0,12
Israel,0,11
Portugal,0,11
Hong Kong,0,10
Finland,0,10
Iraq,0,9
Slovakia,0,7
Iran,0,6
Hungary,0,5
Czech Republic,0,5
Mexico,0,5
Poland,0,5
Turkey,0,5
Chile,0,3
Venezuela,0,3
Taiwan,0,3
Peru,0,3
Colombia,0,3
Argentina,0,2
Brazil,0,2
Russia,0,1
Japan,0,1
