Category: Arts & Entertainment

Country,The Shawshank Redemption: (2016),Captain America  Civil War: (2016)
Trinidad & Tobago,0,100
Philippines,0,83
Bangladesh,0,70
United States,1,68
Singapore,0,62
Malaysia,0,59
Sri Lanka,0,54
India,2,53
Pakistan,0,50
Canada,2,49
Puerto Rico,0,48
United Arab Emirates,0,47
Australia,2,47
United Kingdom,2,45
Qatar,0,44
New Zealand,0,42
Ireland,0,40
Kuwait,0,35
Nigeria,0,34
Indonesia,0,32
South Africa,0,30
Hong Kong,0,24
Thailand,0,24
Italy,0,23
France,0,23
Romania,0,22
Kenya,0,22
Egypt,5,21
Norway,0,19
Denmark,0,18
Greece,0,18
Croatia,0,17
Sweden,0,17
Belgium,0,16
Serbia,0,15
Vietnam,0,15
Czech Republic,0,14
Saudi Arabia,0,14
Finland,0,14
Israel,0,13
Netherlands,0,13
Switzerland,0,12
Portugal,0,12
South Korea,0,10
Morocco,0,10
Turkey,0,10
Iran,0,10
Mexico,0,10
Austria,0,10
Germany,0,9
Algeria,0,9
Hungary,0,7
Chile,0,7
Poland,0,6
Peru,0,6
Venezuela,0,6
Argentina,0,5
Colombia,0,5
Spain,0,4
Taiwan,0,4
Brazil,0,3
Russia,0,1
Japan,0,1
