Category: Arts & Entertainment

Country,The Shawshank Redemption: (5/1/15 - 5/31/16),The Revenant: (5/1/15 - 5/31/16)
Georgia,0,100
Romania,0,90
Canada,3,74
Ireland,0,71
United States,3,65
New Zealand,0,63
Australia,4,63
France,0,63
Norway,0,60
Denmark,0,58
Tunisia,0,57
United Arab Emirates,0,55
United Kingdom,4,55
Belgium,0,55
Pakistan,0,49
Egypt,11,49
Sweden,0,48
Singapore,0,48
Switzerland,0,47
Bangladesh,0,47
Netherlands,0,46
Morocco,0,44
Croatia,0,42
Saudi Arabia,0,39
Austria,0,38
Algeria,0,37
Serbia,0,37
Philippines,0,36
Germany,0,36
South Africa,0,34
Portugal,0,33
Greece,0,32
India,5,31
Finland,0,31
Mexico,0,30
Chile,0,29
Italy,0,28
Bulgaria,0,27
Turkey,0,26
Malaysia,0,26
Hong Kong,0,23
Israel,0,22
Argentina,0,21
Hungary,0,21
Indonesia,0,20
Iran,0,19
Spain,0,18
Venezuela,0,15
Thailand,4,15
Colombia,0,14
Peru,0,10
Poland,0,9
Taiwan,0,7
Vietnam,0,6
Brazil,0,5
Russia,0,2
Japan,0,1
