Category: Arts & Entertainment

Country,The Shawshank Redemption: (2015),Avengers  Age of Ultron: (2015)
Trinidad & Tobago,0,100
Philippines,0,81
Singapore,0,59
Pakistan,0,50
Malaysia,0,50
Puerto Rico,0,48
Bangladesh,0,48
Sri Lanka,0,45
United States,1,39
United Kingdom,2,39
India,2,39
United Arab Emirates,0,39
New Zealand,0,37
Australia,2,36
Canada,2,35
Ireland,0,34
South Africa,0,26
Mexico,0,25
Indonesia,0,25
Italy,0,22
Costa Rica,0,22
Romania,0,22
Nigeria,0,21
Czech Republic,0,20
Bolivia,0,20
Egypt,0,19
Norway,0,19
Serbia,0,18
Croatia,0,17
Thailand,0,17
Chile,0,17
Sweden,0,17
Denmark,0,16
Greece,0,14
Portugal,0,13
Peru,0,13
Saudi Arabia,0,13
Ecuador,0,13
Hong Kong,0,12
Netherlands,0,12
Finland,0,12
Venezuela,0,11
Israel,0,11
Colombia,0,11
Iran,0,11
Argentina,0,10
Belgium,0,9
South Korea,0,9
Turkey,0,8
Austria,0,8
Germany,0,8
Switzerland,0,7
Vietnam,0,6
Poland,0,6
Brazil,0,4
France,0,4
Spain,0,3
Russia,0,1
Japan,0,1
