Category: Arts & Entertainment

Country,The Shawshank Redemption: (2/1/14 - 1/31/15),Dawn of the Planet of the Apes: (2/1/14 - 1/31/15)
New Zealand,0,100
Philippines,0,98
United Kingdom,9,93
Singapore,0,83
Australia,11,81
Pakistan,0,77
Canada,8,74
Ireland,0,74
United Arab Emirates,0,69
United States,6,69
Malaysia,0,63
Romania,0,55
Egypt,0,49
India,9,46
Netherlands,0,43
South Africa,0,36
Thailand,0,33
Saudi Arabia,0,33
Sweden,0,31
Indonesia,0,30
Belgium,0,27
Vietnam,0,12
Mexico,0,9
Poland,0,8
Turkey,0,8
France,0,6
Germany,0,5
Brazil,0,4
