Category: Arts & Entertainment

Country,The Shawshank Redemption: (2016),Lights Out: (2016)
Philippines,0,100
United States,6,82
New Zealand,0,64
Australia,9,62
Singapore,0,61
India,12,60
Malaysia,0,60
Canada,8,54
United Arab Emirates,0,53
Norway,0,49
Ireland,0,49
United Kingdom,8,47
Sweden,0,46
Pakistan,0,42
Indonesia,0,41
Saudi Arabia,0,37
Egypt,28,32
South Africa,0,31
Romania,0,31
Germany,0,29
Netherlands,0,22
Italy,0,21
Mexico,0,15
Thailand,0,11
Poland,0,10
Vietnam,0,9
Argentina,0,9
Brazil,0,8
Spain,0,6
Turkey,0,5
France,0,5
