Category: Arts & Entertainment

Country,The Shawshank Redemption: (4/1/15 - 3/31/16),The Hunger Games: Mockingjay – Part 2: (4/1/15 - 3/31/16)
New Zealand,0,100
Philippines,0,91
Ireland,0,91
South Korea,0,90
United States,6,89
Chile,0,89
Australia,9,89
United Kingdom,9,88
Canada,8,83
Mexico,0,74
Sweden,0,72
Argentina,0,69
Singapore,0,67
Norway,0,66
Denmark,0,66
Belgium,0,65
Ecuador,0,64
Spain,0,64
Belarus,0,63
Portugal,0,57
Venezuela,0,57
Colombia,0,56
Netherlands,0,55
Kazakhstan,0,53
United Arab Emirates,0,53
Peru,0,48
France,0,48
Malaysia,0,48
Indonesia,0,48
Austria,0,46
Russia,0,44
South Africa,0,43
Pakistan,0,42
Switzerland,0,42
Romania,0,40
Ukraine,0,40
Germany,0,39
Brazil,0,36
Thailand,0,34
Egypt,25,34
Israel,0,32
Greece,0,30
Italy,0,23
Poland,0,19
India,11,17
Turkey,0,10
